"id" "name" "latitude" "longitude" "cluster"
"128" 135 " 'Columbia Rd & Belmont St NW'" 38.920669 -77.04368 6
"129" 136 " '17th & Rhode Island Ave NW'" 38.906602 -77.038785 6
"130" 137 " 'Thomas Circle'" 38.9059 -77.0325 6
"131" 138 " 'Wilson Blvd & Franklin Rd'" 38.8904 -77.0889 5
"132" 139 " 'Clarendon Blvd & N Fillmore St'" 38.8881 -77.09308 5
"133" 140 " 'Clarendon Metro / Wilson Blvd & N Highland St'" 38.88786 -77.094875 5
"134" 141 " '18th St & Pennsylvania Ave NW'" 38.89968 -77.041539 6
"135" 142 " 'Maryland & Independence Ave SW'" 38.887299 -77.018939 6
"136" 143 " '4th & E St SW'" 38.88412 -77.017445 7
"137" 144 " '3rd & G St SE'" 38.881185 -77.001828 7
"138" 145 " '7th & R St NW / Shaw Library'" 38.912719 -77.022155 6
"139" 146 " '9th & Upshur St NW'" 38.9418 -77.0251 8
"140" 147 " '1st & Rhode Island Ave NW'" 38.915417 -77.012289 8
"141" 148 " 'Columbia Rd & Georgia Ave NW'" 38.928156 -77.02344 8
"142" 149 " 'California St & Florida Ave NW'" 38.917761 -77.04062 6
"143" 150 " 'Benning Rd & East Capitol St NE / Benning Rd Metro'" 38.889935 -76.93723 1
"144" 151 " '3000 Connecticut Ave NW / National Zoo'" 38.930282 -77.055599 4
"145" 152 " 'Anacostia Ave & Benning Rd NE / River Terrace '" 38.896544 -76.96012 1
"146" 153 " 'M St & Pennsylvania Ave NW'" 38.905126 -77.056887 6
"147" 154 " '15th St & Massachusetts Ave SE'" 38.88732 -76.983569 7
"148" 155 " 'Congress Heights Metro'" 38.844711 -76.987823 1
"149" 156 " 'N Quincy St & Glebe Rd'" 38.876393 -77.107735 5
"150" 157 " 'Wilson Blvd & N Oakland St'" 38.8815 -77.10396 5
"151" 158 " 'N Veitch  & 20th St N'" 38.896923 -77.086502 4
"152" 159 " '11th & K St NW'" 38.90268 -77.02674 6
"153" 160 " 'Fairfax Dr & Wilson Blvd'" 38.885801 -77.097745 5
"154" 161 " 'Key Blvd & N Quinn St'" 38.896015 -77.078107 4
"155" 162 " '1st & K St SE'" 38.87861 -77.006004 7
"156" 163 " '39th & Calvert St NW / Stoddert'" 38.922649 -77.077271 4
"157" 164 " '1st & Washington Hospital Center NW'" 38.928743 -77.012457 8
"158" 165 " 'Virginia Square Metro / N Monroe St & 9th St N'" 38.882788 -77.103148 5
"159" 166 " 'Central Library / N Quincy St & 10th St N'" 38.88397 -77.10783 5
"160" 167 " 'Washington Blvd & 10th St N'" 38.884734 -77.093485 5
"161" 168 " 'Jefferson Dr & 14th St SW'" 38.888553 -77.032429 6
"162" 169 " 'Smithsonian / Jefferson Dr & 12th St SW'" 38.888767 -77.02858 6
"163" 170 " 'George Mason Dr & Wilson Blvd'" 38.87887 -77.1207 5
"164" 171 " '6th St & Indiana Ave NW'" 38.894573 -77.01994 6
"165" 172 " 'N Veitch & Key Blvd'" 38.893241 -77.086045 4
"166" 173 " 'N Adams St & Lee Hwy'" 38.89593 -77.089006 4
"167" 174 " '15th & N Scott St'" 38.89054 -77.08095 4
"168" 175 " 'Washington Blvd & 7th St N'" 38.880834 -77.091129 5
"169" 176 " 'Ballston Metro / N Stuart & 9th St N'" 38.881044 -77.111768 5
"170" 177 " 'N Randolph St & Fairfax Dr'" 38.882629 -77.109366 5
"171" 178 " 'Jefferson Memorial'" 38.879819 -77.037413 6
"172" 179 " 'Good Hope Rd & 14th St SE'" 38.866611 -76.985238 1
"173" 180 " 'Glebe Rd & 11th St N'" 38.883921 -77.116817 5
"174" 181 " 'N Quincy St & Wilson Blvd'" 38.880151 -77.107673 5
"175" 182 " 'Fairfax Dr & Kenmore St'" 38.884616 -77.10108 5
"176" 183 " 'Gallaudet / 8th St & Florida Ave NE'" 38.90509 -76.9941 7
"177" 185 " '20th & L St NW'" 38.903584 -77.044789 6
"178" 186 " '12th & L St NW'" 38.903819 -77.0284 6
"179" 187 " '21st St & Pennsylvania Ave NW'" 38.901539 -77.046564 6
"180" 188 " '19th & K St NW'" 38.902204 -77.04337 6
"181" 189 " 'Prince St & Union St'" 38.803124 -77.040363 2
"182" 190 " 'Market Square / King St & Royal St'" 38.804718 -77.043363 2
"183" 191 " 'Saint Asaph St & Pendleton  St'" 38.810743 -77.044664 2
"184" 192 " 'King St & Patrick St'" 38.805317 -77.049883 2
"185" 193 " '15th & K St NW'" 38.902 -77.03353 6
"186" 194 " 'Commerce St & Fayette St'" 38.805648 -77.05293 2
"187" 195 " 'Henry St & Pendleton St'" 38.811456 -77.050276 2
"188" 196 " 'Braddock Rd Metro'" 38.814577 -77.052808 2
"189" 197 " 'King St Metro'" 38.805767 -77.06072 2
"190" 198 " '24th & N St NW'" 38.9066 -77.05152 6
"191" 199 " '10th & E St NW'" 38.895914 -77.026064 6
"192" 200 " '22nd & I St NW / Foggy Bottom'" 38.90088 -77.048911 6
"193" 201 " 'Utah St & 11th St N '" 38.883669 -77.113905 5
"194" 202 " 'Barton St & 10th St N'" 38.884961 -77.08777 5
"195" 203 " 'Arlington Blvd & N Queen St'" 38.889365 -77.077294 4
"196" 204 " 'Lincoln Memorial'" 38.888251 -77.049426 6
"197" 206 " '20th St & Virginia Ave NW'" 38.894722 -77.045128 6
"198" 207 " '5th St & Massachusetts Ave NW'" 38.90093 -77.018677 6
"199" 208 " '39th & Veazey St NW'" 38.943837 -77.077078 4
"200" 209 " 'Fessenden St & Wisconsin Ave NW'" 38.954812 -77.082426 4
"201" 210 " 'M St & Delaware Ave NE'" 38.905707 -77.003041 7
"202" 211 " 'Columbia Pike & S Courthouse Rd'" 38.863833 -77.080319 5
"203" 212 " 'Walter Reed Community Center / Walter Reed Dr & 16th St S'" 38.857803 -77.086733 5
"204" 213 " '28th St S & S Meade St'" 38.846222 -77.069275 3
"205" 214 " '18th St & Wyoming Ave NW'" 38.918809 -77.041571 6
"206" 215 " '5th & Kennedy St NW'" 38.956595 -77.019815 8
"207" 216 " 'Georgia Ave & Emerson St NW'" 38.949662 -77.027333 8
"208" 217 " '14th & Upshur St NW'" 38.942016 -77.032652 8
"209" 218 " '14th St & Colorado Ave NW'" 38.956432 -77.032947 8
"210" 219 " 'S Troy St & 26th St S'" 38.847977 -77.075104 5
"211" 220 " 'S Four Mile Run Dr & S Shirlington Rd'" 38.8444 -77.085931 2
"212" 221 " 'S Oakland St & Columbia Pike'" 38.860789 -77.09586 5
"213" 222 " 'S Abingdon St & 36th St S'" 38.835213 -77.094295 2
"214" 223 " 'S Arlington Mill Dr & Campbell Ave'" 38.84232 -77.089555 2
"215" 224 " 'S Kenmore & 24th St S'" 38.848454 -77.084918 5
"216" 225 " 'Connecticut Ave & Yuma St NW'" 38.947175 -77.065131 4
"217" 226 " 'Wisconsin Ave & O St NW'" 38.90849 -77.063586 4
"218" 227 " 'S George Mason Dr & 13th St S'" 38.854691 -77.100555 5
"219" 228 " 'Connecticut & Nebraska Ave NW'" 38.955016 -77.069956 4
"220" 229 " '17th St & Massachusetts Ave NW'" 38.908142 -77.038359 6
"221" 230 " '15th & Euclid St  NW'" 38.92333 -77.0352 8
"222" 231 " '8th & East Capitol St NE'" 38.889988 -76.995193 7
"223" 232 " 'New Jersey Ave & R St NW'" 38.912659 -77.017669 8
"224" 233 " '15th & East Capitol St NE'" 38.889908 -76.983326 7
"225" 234 " '8th & F St NE'" 38.897274 -76.994749 7
"226" 235 " '18th St & Rhode Island Ave NE'" 38.927095 -76.978924 8
"227" 236 " '15th & F St NE'" 38.897195 -76.983575 7
"228" 237 " '12th & Irving St NE'" 38.928644 -76.990955 8
"229" 238 " '34th St & Minnesota Ave SE'" 38.884085 -76.957461 1
"230" 239 " 'Alabama & MLK Ave SE'" 38.843222 -76.999388 1
"231" 240 " 'Pleasant St & MLK Ave SE'" 38.863897 -76.990037 1
"232" 241 " 'Neal St & Trinidad Ave NE'" 38.903732 -76.987211 7
"233" 242 " '13th & U St NW'" 38.916794 -77.029779 6
"234" 243 " 'S George Mason Dr & Four Mile Run'" 38.852248 -77.105022 2
"235" 244 " 'S Stafford & 34th St S'" 38.834108 -77.087323 2
"236" 245 " 'N Pershing Dr & Wayne St'" 38.880705 -77.08596 5
"237" 246 " 'Columbia Pike & S Orme St'" 38.867262 -77.072315 3
"238" 247 " '3rd St & Pennsylvania Ave SE'" 38.887378 -77.001955 7
"239" 248 " '8th & D St NW'" 38.894851 -77.02324 6
"240" 249 " '3rd & Elm St NW'" 38.917622 -77.01597 8
"241" 250 " 'Rhode Island Ave & V St NE'" 38.918155 -77.004746 8
"242" 251 " 'Constitution Ave & 2nd St NW/DOL'" 38.892275 -77.013917 7
"243" 252 " 'Washington & Independence Ave SW/HHS'" 38.88731 -77.01397 7
"244" 253 " Independence Ave & L'Enfant Plaza SW/DOE" 38.887397 -77.026154 6
"245" 254 " 'Hamlin & 7th St NE'" 38.927497 -76.997194 8
